,STREET_NAME,TOSTREET,FROMSTREET
700,PAUL AV,2,1
701,PAUL AVE,3,14
702,PEARL ST,2,13
703,PECK AV,1,26
704,PED OVPS AT 27 AV,11,11
705,PELHAM BAY PARK,5,14
706,PELHAM BR,7,6
707,PELHAM PKWY,1,4
708,PELHAM PKWY GREENWAY,36,1
709,PELHAM PKWY N,39,2
710,PIKE ST,10,1
711,PIONEER STREET,1,1
712,PLAZA ST E,20,15
713,PLAZA ST W,7,66
714,POILLON AV,37,1
715,POPHAM AV,3,4
716,POST RD,1,30
717,POWELL ST,18,6
718,PP GAP EXIT,1,10
719,PRESIDENT ST,1,15
720,PRINCE ST,9,5
721,PROSPECT AV,1,1
722,PROSPECT AVE,1,8
723,PROSPECT PARK SW,10,4
724,PROSPECT PARK W,30,2
725,PROSPECT ST,14,5
726,PROVOST AV,17,9
727,PUGSLEY AV,1,4
728,QBB on-ramp,2,3
729,QN MIDTOWN EXWY S,1,2
730,QUAY ST,15,11
731,QUEENS BLVD,33,45
732,QUEENSBRIDGE PARK GREENWAY,12,1
733,QUEENS PLAZA S,8,41
734,QUEENS PLAZA SOUTH,27,8
735,QUEENS PLZ N,6,1
736,RALPH AV,102,1
737,RANDALL AVE,1,8
738,RANDALLS ISLAND,20,17
739,RANDALLS ISLAND CONNECTOR,4,3
740,RANDALLS ISLAND GREENWAY,5,7
741,RANDOLPH ST,2,5
742,READE ST,28,4
743,RED CROSS PL,1,2
744,RED HOOK CHNL SHL,2,12
745,RESERVOIR AV,3,1
746,REVIEW AV,6,14
747,RIDGE BLVD,2,7
748,RIVERDALE AV,3,1
749,RIVERSIDE DR,29,11
750,RIVERSIDE DR SERVICE RD,5,1
751,RIVINGTON ST,1,2
752,ROBERT F KENNEDY BR,14,22
753,ROBERTO CLEMENTE PARK GREENWAY,2,36
754,ROCHESTER AV,31,6
755,ROCKAWAY BEACH BLVD,10,34
756,ROCKAWAY FRWY,1,76
757,ROEBLING ST,3,6
758,ROGERS PL,1,2
759,ROOSEVELT AV,2,2
760,ROOSEVELT ISLAND BR,12,4
761,ROOSEVELT ISLAND GREENWAY,1,2
762,ROSS ST,7,3
763,S 3 ST,1,83
764,S 4 ST,5,6
765,S 5 PL,6,4
766,SACKETT AV,7,24
767,SAND LA,6,7
768,SANDS ST,38,8
769,SAPPHIRE ST,1,1
770,SCHENCK AV,4,22
771,SCHERMERHORN ST,16,3
772,SCHLEY AV,6,5
773,SCHOOL RD,17,4
774,S CONDUIT AV,1,30
775,SEAMAN AV,1,7
776,SEAVIEW AVE,36,34
777,SEDGWICK AV,16,11
778,SEWARD AVE,2,39
779,SHAKESPEARE AV,1,5
780,SHEA RD,9,3
781,SHERIDAN AV,1,1
782,SHERMAN AV,1,9
783,SHOELACE PARK GREENWAY,1,22
784,SHORE BLVD,58,17
785,SHORE FRONT PKWY,14,2
786,SHORE PKWY,4,5
